TITLE	DATES	LOCATION	DESCRIPTION
Music America: Iconic Objects from America's Music History Exhibit	February 17, 2024 - August 11, 2024	LBJ Presidential Library	Music America exhibit debuts at the LBJ Presidential Library and is on display from February 17 - August 11, 2024. This new exhibit features more than 100 iconic objects from America's music history. The LBJ Presidential Library and the Bruce Springsteen Archives & Center for American Music invite you to explore the exhibit "Music America: Iconic Objects from America's Music History," on display at the LBJ Library.  The Library is open daily from 9 – 5. Last visitor admitted at 4 pm.  "Music America" features instruments, hand-written original lyrics, books, photographs, costumes and other objects from major artists performing in all walks of American music in different decades and tells the story of those artists who contributed to it. Visitors will be able to see artifacts from Texas artists Buddy Holly, Janis Joplin, Stevie Ray Vaughan and Willie Nelson as well as national performers B.B. King, Billie Holiday, Bob Dylan, Carlos Santana, Ella Fitzgerald, Elvis Presley, Frank Sinatra, Jimi Hendrix, Johnny Cash, Lead Belly, Sam Cooke, Whitney Houston, and more.  "Music America" is curated by the Bruce Springsteen Archives & Center for American Music in association with the Rock & Roll Hall of Fame and Museum, New Orleans Jazz Museum, Hard Rock International and other institutions nationwide.
Paper Trails	April 6, 2024 - June 1, 2024	Dougherty Arts Center	Bernie Diaz manipulates words and images to create assemblages that redirect and obscure origins. Incorporating historical processes of revision, omission, and embellishment, he creates glyph-like arrangements that seek completeness from fragmentation. His process involves scavenging, cutting, layering, and rearranging materials to achieve a sense of completeness from seemingly unrelated parts informed by his ongoing identity formation as a border-dwelling, queer, Tejano.
Rob Baird Album Preview Show	April 19, 2024	The 04 Center	Born and raised in Memphis, TN, Rob Baird began his career sneaking into juke joints and landing between-set gigs at local clubs before he was old enough to drink. By his early twenties, he’d scored a Nashville publishing deal, but an insatiable desire for creative independence eventually led him to Austin, TX, where he spent the better part of the next decade grinding it out on the road, releasing six critically acclaimed studio albums on his own label and sharing dates with the likes of Jason Isbell, Nathaniel Rateliff, and Billy Joe Shaver. Along the way, he would earn praise everywhere from Rolling Stone to the Wall Street Journal, land songs in TV shows including Yellowstone and Nashville, and rack up nearly 100 million streams across platforms.  Baird’s latest album, Burning In The Stars, is undoubtedly his finest, laying it all on the line with raw, vulnerable reflections on hope and loss, faith and resilience, heartbreak and redemption. The songs are lean and compact, cutting to the quick with surgical precision, and the performances are similarly direct, fueled by earnest, melodic arrangements that call to mind everything from Tom Petty and Bob Seger to Lucinda Williams. The result is a cinematic mix of alt-country intimacy and rock and roll ecstasy that refuses to shy away from pain in its pursuit of growth, a masterfully mature work of lyrical and sonic craftsmanship built around the promise that it’s never too late to become who we’re meant to be.
Romeo and Juliet	April 5, 2024 - April 27, 2024	The Curtain Theatre	The Baron's Men present Shakespeare's Romeo and Juliet, directed by Lindsay M. Palinsky. Performances are at the Curtain Theatre, Austin's only outdoor Elizabethan style "wooden O" theater on the waterfront in west Austin.  Tickets are $25/general admission, $22/students & seniors. Please contact us at info@thebaronsmen.org for inquiries about group (10+) or educational rates.
Roy Wood Jr. at Moontower JFL	April 19, 2024	Paramount Theatre	Moontower Just for Laughs Austin ROY WOOD JR.  Doors: 6pm Show: 7pm  Roy Wood Jr. is a comedian, an Emmy-nominated documentary producer for the PBS documentary The Neutral Ground, and for 8 years served as a correspondent on Comedy Central’s Emmy-winning The Daily Show (2015-23). Spring of 2023, Wood Jr. guest hosted The Daily Show and headlined the White House Correspondents' Dinner to its highest ratings since 2017.  Wood co-starred alongside Jon Hamm in Paramount Pictures' long-awaited Fletch remake, Confess, Fletch (2022), and has guest appearances in ‘Only Murders in the Building’, ‘Better Call Saul’, ‘The Last O.G.’ & ‘Space Force.’  His first Comedy Central one-hour stand-up special Roy Wood Jr.: Father Figure, debuted in 2017, the same year he was named the new host of Comedy Central’s storytelling series, This is Not Happening. Debuting in 2019, his second Comedy Central special Roy Wood Jr.: No One Loves You, remains the network’s highest-rated original stand-up premiere. In 2021, his third Comedy Central special Roy Wood Jr.: Imperfect Messenger, aired hyper-recent material just two weeks after taping.
Sugar Sammy at Moontower JFL	April 19, 2024	Stateside at the Paramount	Moontower Just for Laughs Austin SUGAR SAMMY  Doors: 6pm Show: 7pm  Sugar Sammy is one of the hottest comedians on the international circuit. The New York Times calls him “A fearless comic with a talent for provoking both laughter and outrage”. He has performed over 2,000 shows in 32 countries. “Fluent in Funny” as the Washington Post describes him, he hits on cultural, social and political themes with great charm and finesse. He is a master of crowd work and audience interaction. Sugar Sammy's international TV credits include specials broadcast on HBO Canada, Comedy Central Asia, Comedy Central India, CTV, The Comedy Network, The Comedy Channel, Dutch TV and Showtime Arabia. A television star on both sides of the pond, his accomplishments include his current role as judge on La France a un Incroyable talent, France’s version of America’s Got Talent.
Soulful Sounds in Austin	April 19, 2024 - April 19, 2024	Dougherty Arts Center	You’ve probably seen “NYC's Jazzy R&B Duo” on HBO or Amazon, but this is your chance to experience their fun personalities at one of their shows! This playful couple might remind you of Lucy & Ricky, and if you like everything from Erykah Badu to Billie Holiday, you'll love grooving to their Soulful Sounds. Acute Inflections is known for using call-and-response and witty freestyles to interact with audiences, and their humorous banter will definitely get you laughing!  Tickets are selling quickly for their performances in Austin on April 19th and 20th, so prepare for a special evening of music and comedy!  Happens on the following Dates: Apr 19, 2024, 7:30pm to 9:00pm Timezone: CDT Apr 20, 2024, 7:30pm to 9:00pm Timezone: CDT
THE BLACK FEMINIST GUIDE TO THE HUMAN BODY	April 12, 2024 - May 4, 2024	The Vortex	The VORTEX and Fusebox Festival proudly present the commissioned world premiere of The Black Feminist Guide to the Human Body, a new choreopoem by award-winning playwright and Black cultural studies scholar Lisa B. Thompson. The show premieres 25 years after the debut of her classic comedy Single Black Female and is dedicated to Thompson’s mentor and friend, the legendary theater director Shirley Jo Finney.  Conceived during Thompson’s 2021 MacDowell artist residency and developed during her 2023-24 Texas Performing Arts and Fusebox artist residency, The Black Feminist Guide to the Human Body meditates on Black women’s experiences from the perspectives of mind, body, and spirit. What makes the piece unique is its focus on middle-aged and older Black women, an often invisible and neglected group, especially by the medical establishment. Thompson also celebrates Black feminist pioneers and icons whose contributions to the arts, culture, politics, and academia transformed the world. The piece culminates in an audience dance party and an invitation for Black women to share their own contributions to Black feminist wisdom.
Melotheory	April 19, 2024	Cactus Cafe	Admission is free! Doors open at 7 p.m., show begins at 7:30 p.m.  An intimate listening room and bar since 1979, the Cactus Cafe has acquired a national reputation showcasing top local, regional, national and international music acts.
Main Course Stand Up Comedy	3/29/2024, 4/19/2024, 5/17/2024, 6/21/2024, 7/19/2024, 8/23/2024	Vulcan Gas Company	The Main Course features a secret lineup of comedians at the iconic Vulcan Gas Company. Our comedians have been featured on Netflix, HBO, Comedy Central, and Showtime. This is gonna be a fun one. $25 online | $30 door GA and Preferred tickets available for purchase.  Doors: 6:30pm | Show: 7:30pm GA is first come first serve. Drinks available inside.  Grab your ticket now and Come enjoy the frenzy!  Happens on the following Dates: Jan 12, 2024, 10:00pm to 11:45pm CST Feb 9, 2024, 7:30pm to 8:45pm CST Feb 24, 2024, 7:30pm to 9:00pm CST Mar 29, 2024, 10:00pm to 11:45pm CST Apr 19, 2024, 10:00pm to 11:45pm CST May 17, 2024, 10:00pm to 11:45pm CST Jun 21, 2024, 10:00pm to 11:45pm CST Jul 19, 2024, 10:00pm to 11:45pm CST Aug 23, 2024, 10:00pm to 11:45pm CST
Romeo y Juliet	April 10, 2024 - April 21, 2024	Oscar G. Brockett Theatre	A bilingual adaptation of one of Shakespeare’s most cherished works, Romeo y Juliet recounts the tale of two star-crossed lovers, daughters from the feuding houses of Capulet and Montague, reimagined in Alta, California in the 1840’s prior to the annexation of California to the United States. Set in the limbo between Mexican rule and new statehood, this retelling shifts between English and Spanish, bringing new life to a well-loved tale of love, bloodshed, family and fate.
